'No','Grape','Winery','Appelation','Name','Year','Price','Score','Cases'
167,'Syrah','Ojai','Sta. Rita Hills','Melville Vineyards',2006,44,91,238
168,'Syrah','Joseph Phelps','Napa Valley','Syrah',2008,50,90,600
169,'Syrah','Red Car','California','The Flight',2008,55,90,394
170,'Syrah','Tensley','Santa Barbara County','Colson Canyon Vineyard',2009,38,90,1495
171,'Syrah','Red Lava','Red Hills Lake County','Syrah',2007,22,89,977
172,'Syrah','Rosenblum','Solano County','England-Shaw',2007,35,89,735
173,'Syrah','Eberle','Paso Robles','Rose Steinbeck Vineyard',2009,17,88,705
174,'Syrah','Keller','Sonoma Coast','La Cruz Vineyard',2007,40,88,308
175,'Syrah','Fess Parker','Santa Barbara County','Syrah',2008,20,88,2831
176,'Syrah','Pride','Sonoma County','Syrah',2008,60,88,575
177,'Syrah','Red Car','Sonoma County','Syrah',2008,45,88,961
178,'Syrah','Rosenblum','Lake County','Snows Lake Vineyard',2007,25,88,486
179,'Syrah','Rosenblum','Lodi','Abba Vineyard',2007,25,88,450
180,'Syrah','Stolpman','Santa Ynez Valley','Originals',2008,38,88,950
181,'Syrah','Boheme','Sonoma Coast','Que Syrah Vineyard',2006,40,87,185
182,'Syrah','J. Lohr','Paso Robles','Gesture Limited Release',2008,30,87,514
183,'Syrah','Montes','Paso Robles','Star Angel ',2007,35,87,3000
184,'Syrah','Rosenblum','Sonoma County','Kick Ranch Reserve',2007,45,87,496
185,'Syrah','Stolpman','Santa Ynez Valley','Syrah',2008,30,87,1500
186,'Syrah','Zaca Mesa','Santa Ynez Valley','Syrah',2007,24,87,7651
187,'Syrah','Domaine de la Terre Rouge','California','Les Cotes De L''Ouest',2008,18,84,'NULL'
188,'Syrah','Fetzer','California','Shiraz',2008,9,83,'NULL'
189,'Zinfandel','Carlisle','Russian River Valley','Carlisle Vineyard',2008,43,93,325
190,'Zinfandel','Turley','Howell Mountain','Cedarman',2008,29,93,400
191,'Zinfandel','Turley','Napa Valley','Tofanelli Vineyard',2008,34,93,200
192,'Zinfandel','Collier Falls','Dry Creek Valley','Private Reserve',2006,32,92,300
193,'Zinfandel','Turley','Sonoma Valley','Fredericks Vineyard',2008,42,91,300
194,'Zinfandel','Carlisle','Sonoma Valley','Rossi Ranch',2008,40,90,119
195,'Zinfandel','Dark Horse','Dry Creek Valley','Treborce Vineyard',2008,28,90,750
196,'Zinfandel','St. Francis','Sonoma County','Wild Oak Old Vines',2007,38,89,1900
197,'Zinfandel','Girard','Napa Valley','Old Vine',2008,24,88,2850
198,'Zinfandel','Sextant','Paso Robles','Wheelhouse',2008,20,88,3300
199,'Zinfandel','Terra d''Oro','Amador County','Zinfandel',2007,18,88,14000
200,'Zinfandel','Artezin','Mendocino County','Zinfandel',2009,18,87,15000
201,'Zinfandel','Terra d''Oro','Amador County','SHR Field Blend',2007,30,87,1250
202,'Zinfandel','Cameron Hughes','Lake County','Lot 154',2006,13,86,584
203,'Zinfandel','Rubicon Estate','Rutherford','Edizione Pennino',2008,45,86,2278
204,'Chardonnay','Lewis','Napa Valley','Chardonnay',2009,48,92,1800
205,'Chardonnay','Keller','Sonoma Coast','La Cruz Vineyard',2008,36,91,507
206,'Merlot','Darioush','Napa Valley','Signature',2007,48,89,1779
207,'Tempranillo','Four Vines','Paso Robles','Loco',2008,40,88,700
208,'Chardonnay','CC:','California','Chardonnay',2009,15,86,5000
209,'Syrah','Four Vines','Amador County','Bailey Vineyard',2005,38,93,440
210,'Syrah','Red Car','California','Twenty Two',2005,60,93,111
211,'Syrah','Herman Story','Santa Ynez Valley','Larner Vinyard',2005,28,92,432
212,'Syrah','Krupp Brothers','Napa Valley','Black Bart Stagecoach Vineyard',2005,52,91,1219
213,'Syrah','Paloma','Dry Creek Valley','Polomita Hamilton Vineyard',2005,45,91,250
214,'Syrah','Rosenblum','Yolo County','Rominger Vineyard',2005,25,91,1125
215,'Zinfandel','Four Vines','Amador County','Maverick',2005,24,91,2529
216,'Syrah','Chateau Potelle','Mount Vedeer','VGS',2004,75,90,238
217,'Syrah','Kosta Browne','Russian River Valley','Amber Ridge Vineyard',2004,45,90,320
218,'Syrah','Ojai','California','Roll Ranch Vineyard',2004,45,90,700
219,'Syrah','Whitestone','Sonoma Coast','Guidici Famili Vineyard',2005,55,90,200
220,'Pinot Noir','Adrian Fog','Anderson Valley','Savoy Vineyard',2005,75,92,440
221,'Pinot Noir','Davis Bynum','Russian River Valley','The Backbone',2004,75,92,117
222,'Pinot Noir','Davis Bynum','Russian River Valley','Laurels Estate Vineyard',2004,75,91,142
223,'Pinot Noir','Davis Bynum','Russian River Valley','Bynum & Moshin Vineyards',2004,50,91,314
224,'Pinot Noir','Calera','Mount Harlan','Jensen Vineyard',2004,60,91,1262
225,'Zinfandel','Rosenblum','Rockpile','Rockpile Road Vineyard',2005,35,91,3558
226,'Pinot Noir','Toulouse','Anderson Valley','Pinot Noir',2005,39,91,1050
227,'Pinot Noir','Calera','Mount Harlan','Thirtieth Anniverasry Vintage Mt. Harlan Cuvee',2005,30,90,403
228,'Chardonnay','DuMOL','Sonoma County','Green River Isobel',2005,60,95,558
229,'Chardonnay','Barnett','Carneros','Sengiacomo Vineyard',2005,29,93,1138
230,'Chardonnay','Chasseur','Russian River Valley','Lorenzo',2005,55,93,371
231,'Chardonnay','DuMOL','Russian River Valley','Chloe',2005,60,92,708
232,'Chardonnay','Chalk Hill','Chalk Hill','Chardonnay',2005,45,90,15000
233,'Viognier','Darioush','Napa Valley','Signature',2006,35,90,1376
234,'Marsanne','Krupp Brothers','Napa Valley','Stagecoach Vineyard Black Bart',2005,37,90,620
235,'Sauvignon Blanc','Sbragia Family','Dry Creek Valley','Home Ranch',2006,20,90,620
236,'Cabernet Sauvingnon','Hourglass','Napa Valley','Cabernet Sauvignon',2006,135,97,700
237,'Cabernet Sauvingnon','Dancing Hares','Napa Valley','Cabernet Sauvignon',2005,95,95,600
238,'Cabernet Sauvingnon','Lewis','Napa Valley','Reserve',2006,125,95,2000
239,'Cabernet Sauvingnon','Bucella','Napa Valley','Cabernet Sauvignon',2006,135,93,792
240,'Cabernet Sauvingnon','Casa Piena','Napa Valley','Cabernet Sauvignon',2006,125,93,240
241,'Cabernet Sauvingnon','The Four','Napa Valley','Cabernet Sauvignon',2006,75,93,310
242,'Cabernet Sauvingnon','Veraison','Napa Valley','Stagecoach Vineyard',2005,60,93,1232
243,'Cabernet Sauvingnon','Barrack','Santa Ynez Valley','Ten-Goal Happy Canyon Vineyards',2005,60,92,350
244,'Cabernet Sauvingnon','Snowden','Napa Valley','The Ranch',2006,40,92,1200
245,'Cabernet Sauvingnon','Cade','Napa Valley','Napa Cuvee',2006,60,91,2200
246,'Cabernet Sauvingnon','Louis M. Martini','Sonoma Valley','Monte Rosso Vineyard',2005,85,91,2550
247,'Cabernet Sauvingnon','PerryMoore','Oakville','Beckstoffer To Kalon Vineyard',2005,100,91,300
248,'Cabernet Sauvingnon','Frank Family','Rutherford','Reserve',2005,85,90,2400
249,'Cabernet Sauvingnon','Highlands','Napa Valley','Cabernet Sauvignon',2006,55,90,1000
250,'Cabernet Sauvingnon','Ilsley','Stags Leap District','Cabernet Sauvignon',2005,55,90,318
251,'Cabernet Sauvingnon','PerryMoore','St. Helena','Dr. Crane Vineyard',2005,100,90,250
252,'Chardonnay','Kazme & Blaise','Carneros','Boonfly''s Hill',2006,50,95,90
253,'Chardonnay','Kistler','Sonoma County','McCrea Vineyard',2006,75,95,3634
254,'Chardonnay','Peter Michael','Sonoma County','Ma Belle-Fille',2007,85,95,2780
255,'Chardonnay','Three Sticks','Sonoma Valley','Durell Vineyard',2006,45,95,220
256,'Chardonnay','Tor','Sonoma Valley','Durell Vineyard Wente Clone',2007,60,95,80
257,'Chardonnay','Failla','Sonoma Coast','Estate Vineyard',2007,42,94,125
258,'Chardonnay','Kistler','Russian River Valley','Wine Hill Vineyard',2006,75,94,3640
259,'Chardonnay','Peter Michael','Sonoma County','Belle Cote',2007,75,94,2500
260,'Chardonnay','Peter Michael','Sonoma County','Mon Plaisir',2007,80,94,1050
261,'Chardonnay','Peirson Meyer','Sonoma County','Untilited #3',2007,75,94,125
262,'Chardonnay','Rodney Strong','Russian River Valley','Reserve',2006,40,94,2448
263,'Chardonnay','Au Bon Climat','Santa Barbara County','Los Alamos Vineyard Historic Vineyards Collection',2007,25,93,325
264,'Chardonnay','HdV','Carneros','Hyde Vineyards',2006,60,93,1562
265,'Chardonnay','Kistler','Carneros','Hudson Vineyard',2006,75,93,1818
266,'Chardonnay','Landmark','Sonoma County','Damaris Reserve ',2006,40,93,2000
267,'Chardonnay','Pahlmeyer','Sonoma Coast','Chardonnay',2007,70,93,1620
268,'Chardonnay','Peirson Meyer','Sonoma Coast','Cahrles Heintz Vineyard',2007,55,93,300
269,'Chardonnay','Ridge','Santa Cruz Mountains','Santa Cruz Mountains Estate',2007,40,93,400
270,'Chardonnay','Shafer','California','Red Shoulder Ranch',2007,48,93,5500
271,'Chardonnay','Souverain','Russian River Valley','Winmaker''s Reserve',2007,30,93,313
272,'Chardonnay','Acacia','Carneros','Sangiacomo Vineyard',2007,40,92,484
273,'Chardonnay','Beringer','Napa Valley','Sbraglia Limited-Release',2007,40,92,5600
274,'Chardonnay','Chalone','Chalone','Chardonnay',2007,25,92,16801
275,'Chardonnay','Chateau St. Jean','Sonoma County','Reserve',2006,45,92,4600
276,'Chardonnay','El Molino','Rutherford','Chardonnay',2007,45,92,878
277,'Chardonnay','Freeman','Russian River Valley','Ryo-fu',2006,44,92,418
278,'Chardonnay','Hanzell','Sonoma Valley','Chardonnay',2006,70,92,3253
279,'Chardonnay','Hudson Vineyards','Napa Valley','Carneros',2006,60,92,350
280,'Chardonnay','Kistler','Russian River Valley','Dutton Ranch',2006,75,92,1810
281,'Chardonnay','Luna','Napa Valley','Chardonnay',2006,40,92,204
282,'Chardonnay','Maldonado','Napa Valley','Los Olivos Vineyard',2006,49,92,566
283,'Chardonnay','Peter Michael','Sonoma County','La Carrlere',2007,80,92,2549
284,'Chardonnay','Pahlmeyer','Napa Valley','Chardonnay',2007,70,92,3341
285,'Chardonnay','Sbragia Family','Dry Creek Valley','Home Ranch',2007,26,92,2657
286,'Chardonnay','D.R. Stephens','Napa Valley','Chardonnay',2007,50,92,455
287,'Chardonnay','Truchard','Napa Valley','Carneros',2007,30,92,2930
288,'Chardonnay','Vineyard 7&8','Spring Mountain District','Chardonnay',2007,60,92,275
289,'Chardonnay','Anaba','Sonoma Coast','Chardonnay',2007,32,91,938
290,'Chardonnay','Armida','Russian River Valley','Keefer Ranch',2007,28,91,232
291,'Chardonnay','Au Bon Climat','Santa Barbara County','Chardonnay',2007,20,91,12000
292,'Chardonnay','Beringer','Napa Valley','Private Reserve',2007,35,91,21900
293,'Chardonnay','Cakebread','Napa Valley','Carneros Reserve',2006,55,91,1000
294,'Chardonnay','Calera','Mount Harlan','Chardonnay',2007,25,91,663
295,'Chardonnay','Celani Family','Napa Valley','Chardonnay',2007,40,91,600
296,'Chardonnay','Domain Chandon','Carneros','Chardonnay',2006,26,91,4600
297,'Chardonnay','Dutton-Goldfield','Russian River Valley','Dutton Ranch',2007,35,91,3981
298,'Chardonnay','Far Niente','Napa Valley','Chardonnay',2007,56,91,30000
299,'Chardonnay','Ferrari-Carano','Russian River Valley','Emelia''s Cuvee',2007,36,91,465
300,'Chardonnay','Fog Dog','Sonoma Coast','Chardonnay',2006,40,91,1300
301,'Chardonnay','Freestone','Sonoma Coast','Ovation',2006,60,91,2500
302,'Chardonnay','L''Angevin','Russian River Valley','Laughlin Family Vineyard',2007,44,91,350
303,'Chardonnay','Marimar Estate','Russian River Valley','Don Miguel Vineyard Lia Torres Family Vineyards',2006,49,91,355
